name;cores;cpumark;thread;tdp;socket;cat;cannonname
AMD A4-4300M APU;1;967;984;35;FS1;Laptop;AMD A4-4300M APU
AMD A4-4355M APU;2;806;813;17;FP2;Laptop;AMD A4-4355M APU
AMD A4-5000 APU;4;1282;503;15;FT3;Laptop;AMD A4-5000 APU
AMD A4-5050 APU;4;1328;538;13.5;FT3;Laptop;AMD A4-5050 APU
AMD A4-5100 APU;4;1301;530;15;FT3;Laptop;AMD A4-5100 APU
AMD A4-5150M APU;2;927;901;35;FS1r2;Laptop;AMD A4-5150M APU
AMD A4-5300 APU;2;1367;1335;65;FM2;Desktop;AMD A4-5300 APU
AMD A4-5300B APU;2;1246;1247;65;FM2;Desktop;AMD A4-5300B APU
AMD A4-6210 APU;4;1499;605;15;FT3b;Laptop;AMD A4-6210 APU
AMD A4-6250J APU;4;1619;677;25;Unknown;Laptop, Mobile/Embedded;AMD A4-6250J APU
AMD A4-6300 APU;1;1434;1398;65;FM2;Desktop;AMD A4-6300 APU
AMD A4-6300B APU;1;1328;1373;65;Unknown;Desktop;AMD A4-6300B APU
AMD A4-6320 APU;1;1532;1520;65;FM2;Desktop;AMD A4-6320 APU
AMD A4-7210 APU;4;1670;724;25;BGA;Laptop;AMD A4-7210 APU
AMD A4-7300 APU;1;1536;1474;65;FM2;Desktop;AMD A4-7300 APU
AMD A4-9120;2;1223;1063;15;BGA;Laptop;AMD A4-9120
AMD A4-9120C;2;885;888;6;FT4;Laptop;AMD A4-9120C
AMD A4-9120e;2;844;740;NA;FT4;Laptop;AMD A4-9120e
AMD A4-9125;2;1205;1031;15;BGA (FT4);Laptop;AMD A4-9125
AMD A6 Micro-6500T APU;4;1146;630;NA;Unknown;Laptop;AMD A6 Micro-6500T APU
AMD A6 PRO-7050B APU;2;971;844;17;FP3;Laptop;AMD A6 PRO-7050B APU
AMD A6 PRO-7400B;1;1640;1494;65;FM2+;Desktop;AMD A6 PRO-7400B
AMD A6-1450 APU;4;1062;442;8;FT3;Laptop;AMD A6-1450 APU
AMD A6-3400M APU;4;1223;702;35;FS1;Laptop;AMD A6-3400M APU
AMD A6-3410MX APU;4;1274;734;45;FS1;Laptop;AMD A6-3410MX APU
AMD A6-3420M APU;4;1310;778;35;FS1;Laptop;AMD A6-3420M APU
AMD A6-3430MX APU;4;1389;776;45;FS1;Laptop;AMD A6-3430MX APU
AMD A6-3500 APU;3;1439;964;65;FM1;Desktop;AMD A6-3500 APU
AMD A6-3600 APU;4;1718;913;65;FM1;Desktop;AMD A6-3600 APU
AMD A6-3620 APU;4;1869;982;65;FM1;Desktop;AMD A6-3620 APU
AMD A6-3650 APU;4;2098;1049;100;FM1;Desktop;AMD A6-3650 APU
AMD A6-3670 APU;4;2216;1145;100;FM1;Desktop;AMD A6-3670 APU
AMD A6-4400M APU;1;996;1016;35;FS1r2;Laptop;AMD A6-4400M APU
AMD A6-4455M APU;1;811;798;17;FP2;Laptop;AMD A6-4455M APU
AMD A6-5200 APU;4;1671;663;25;FT3;Laptop;AMD A6-5200 APU
AMD A6-5345M APU;2;1122;1094;17;FP2;Laptop;AMD A6-5345M APU
AMD A6-5350M APU;2;1199;1196;35;FS1r2;Laptop;AMD A6-5350M APU
AMD A6-5357M APU;2;1192;1222;35;FP2;Laptop;AMD A6-5357M APU
AMD A6-5400B APU;1;1465;1395;65;FM2;Desktop;AMD A6-5400B APU
AMD A6-5400K APU;1;1279;1267;65;FM2;Desktop;AMD A6-5400K APU
AMD A6-6310 APU;4;1678;738;15;FT3;Laptop;AMD A6-6310 APU
AMD A6-6400B APU;1;1573;1597;65;FM2;Desktop;AMD A6-6400B APU
AMD A6-6400K APU;1;1514;1449;65;FM2;Desktop;AMD A6-6400K APU
AMD A6-6420B APU;1;1550;1629;65;FM2;Desktop;AMD A6-6420B APU
AMD A6-6420K APU;2;1571;1550;65;FM2;Desktop;AMD A6-6420K APU
AMD A6-7000;2;1002;840;17;FP3;Laptop;AMD A6-7000
AMD A6-7310 APU;4;1747;771;25;Unknown;Laptop;AMD A6-7310 APU
AMD A6-7400K APU;2;1686;1458;65;FM2+;Desktop;AMD A6-7400K APU
AMD A6-7470K;1;1799;1576;65;FM2+;Desktop;AMD A6-7470K
AMD A6-7480;2;1814;1537;65;FM2+;Desktop;AMD A6-7480
AMD A6-8500P;2;1445;1253;15;BGA (FP4);Laptop;AMD A6-8500P
AMD A6-8550;2;1762;1546;65;FM2+;Desktop;AMD A6-8550
AMD A6-9200;2;1143;982;10;BGA;Laptop;AMD A6-9200
AMD A6-9210;2;1254;1105;15;FP4;Laptop;AMD A6-9210
AMD A6-9220;2;1305;1145;15;Unknown;Laptop;AMD A6-9220
AMD A6-9220C;2;1053;995;6;FT4;Laptop;AMD A6-9220C
AMD A6-9220e;2;958;852;NA;Unknown;Laptop;AMD A6-9220e
AMD A6-9225;2;1327;1152;15;BGA (FT4);Laptop;AMD A6-9225
AMD A6-9230;2;1303;1124;15;Unknown;Desktop;AMD A6-9230
AMD A6-9400;2;2717;1664;10;FT4;Laptop;AMD A6-9400
AMD A6-9500;2;1876;1617;65;AM4;Desktop;AMD A6-9500
AMD A6-9500E;2;1725;1369;35;AM4;Desktop;AMD A6-9500E
AMD A8 PRO-7150B APU;4;1541;758;19;FP3;Laptop;AMD A8 PRO-7150B APU
AMD A8 PRO-7600B APU;4;3010;1413;65;FM2+;Desktop;AMD A8 PRO-7600B APU
AMD A8-3500M APU;4;1391;800;35;FS1;Laptop;AMD A8-3500M APU
AMD A8-3510MX APU;4;1631;898;45;FS1;Laptop;AMD A8-3510MX APU
AMD A8-3520M APU;4;1439;835;35;FS1;Laptop;AMD A8-3520M APU
AMD A8-3530MX APU;4;1608;938;45;FS1;Laptop;AMD A8-3530MX APU
AMD A8-3550MX APU;4;1687;962;45;FS1;Laptop;AMD A8-3550MX APU
AMD A8-3800 APU;4;2047;1042;65;FM1;Desktop;AMD A8-3800 APU
AMD A8-3820 APU;4;2178;1126;65;FM1;Desktop;AMD A8-3820 APU
AMD A8-3850 APU;4;2421;1222;100;FM1;Desktop;AMD A8-3850 APU
AMD A8-3870K APU;4;2355;1216;100;FM1;Desktop;AMD A8-3870K APU
AMD A8-4500M APU;2;1693;917;35;FS1r2;Laptop;AMD A8-4500M APU
AMD A8-4555M APU;2;1337;784;19;FP2;Laptop;AMD A8-4555M APU
AMD A8-5500 APU;2;2613;1338;65;FM2;Desktop;AMD A8-5500 APU
AMD A8-5500B APU;2;2613;1339;65;FM2;Desktop;AMD A8-5500B APU
AMD A8-5545M APU;4;1628;866;19;FP2;Laptop;AMD A8-5545M APU
AMD A8-5550M APU;4;1811;1001;35;FS1r2;Laptop;AMD A8-5550M APU
AMD A8-5557M APU;4;1831;1069;35;FP2;Laptop;AMD A8-5557M APU
AMD A8-5600K APU;4;2860;1429;100;FM2;Desktop;AMD A8-5600K APU
AMD A8-6410 APU;4;1770;782;15;BGA769 (FT3b);Laptop;AMD A8-6410 APU
AMD A8-6500 APU;2;2591;1361;65;FM2;Desktop;AMD A8-6500 APU
AMD A8-6500B APU;2;2519;1339;65;FM2;Desktop;AMD A8-6500B APU
AMD A8-6500T APU;2;1983;1139;45;FM2;Desktop;AMD A8-6500T APU
AMD A8-6600K APU;2;3013;1531;100;FM2;Desktop;AMD A8-6600K APU
AMD A8-7050;2;1068;877;15;Unknown;Laptop;AMD A8-7050
AMD A8-7100 APU;4;1647;835;19;FP3;Laptop;AMD A8-7100 APU
AMD A8-7200P;4;2158;1039;35;FP3;Laptop;AMD A8-7200P
AMD A8-7410 APU;4;1811;794;25;Unknown;Laptop;AMD A8-7410 APU
AMD A8-7500;2;3302;1406;65;FM2+;Desktop;AMD A8-7500
AMD A8-7600 APU;2;3212;1441;65;FM2+;Desktop;AMD A8-7600 APU
AMD A8-7650K;2;3118;1392;65;FM2+;Desktop;AMD A8-7650K
AMD A8-7670K;4;3267;1500;95;FM2+;Desktop;AMD A8-7670K
AMD A8-7680;4;3520;1599;45;FM2+;Laptop;AMD A8-7680
AMD A8-7690K;4;2157;1441;95;FM2+;Desktop;AMD A8-7690K
AMD A8-8600P;2;2464;1189;15;FP4;Laptop;AMD A8-8600P
AMD A8-8650;4;2996;1483;65;FM2+;Desktop;AMD A8-8650
AMD A8-9600;4;3293;1480;65;AM4;Desktop;AMD A8-9600
AMD A9-9400;2;1327;1189;10;FP4;Laptop;AMD A9-9400
AMD A9-9410;2;1548;1350;25;FP4;Laptop;AMD A9-9410
AMD A9-9420;2;1538;1328;15;Unknown;Laptop;AMD A9-9420
AMD A9-9420e;2;1101;949;NA;Unknown;Laptop;AMD A9-9420e
AMD A9-9425;2;1516;1321;15;BGA (FT4);Laptop;AMD A9-9425
AMD A9-9430;2;1707;1459;NA;Unknown;Desktop;AMD A9-9430
AMD A9-9820;8;3958;798;NA;Unknown;Desktop;AMD A9-9820
AMD Athlon 1500+;1;191;275;NA;Unknown;Desktop;AMD Athlon 1500+
AMD Athlon 1640B;1;376;574;45;AM2;Desktop;AMD Athlon 1640B
AMD Athlon 200GE;2;4101;1793;35;AM4;Desktop;AMD Athlon 200GE
AMD Athlon 220GE;2;4435;1961;35;AM4;Laptop;AMD Athlon 220GE
AMD Athlon 240GE;2;4561;1965;35;AM4;Desktop;AMD Athlon 240GE
AMD Athlon 2650e;1;274;304;15;AM2;Desktop;AMD Athlon 2650e
AMD Athlon 2800+;1;291;439;89;754;Desktop;AMD Athlon 2800+
AMD Athlon 2850e;1;333;337;22;AM2;Desktop;AMD Athlon 2850e
AMD Athlon 3000G;2;4446;1956;35;AM4;Desktop;AMD Athlon 3000G
AMD Athlon 300GE;2;4281;1877;35;AM4;Desktop;AMD Athlon 300GE
AMD Athlon 300U;2;3865;1770;15;FP5;Laptop;AMD Athlon 300U
AMD Athlon 320GE;2;4399;1929;35;AM4;Desktop;AMD Athlon 320GE
AMD Athlon 5000 Dual-Core;2;872;898;65;AM2,AM2+;Desktop;AMD Athlon 5000 Dual-Core
AMD Athlon 5150 APU;4;1415;545;25;AM1,FS1b;Desktop;AMD Athlon 5150 APU
AMD Athlon 5200 Dual-Core;2;869;915;75;AM2;Desktop;AMD Athlon 5200 Dual-Core
AMD Athlon 5350 APU;4;1796;697;25;AM1,FS1B;Desktop;AMD Athlon 5350 APU
AMD Athlon 5370 APU;4;1906;745;25;AM1,FS1B;Desktop;AMD Athlon 5370 APU
AMD Athlon 64 2000+;1;154;173;8;Unknown;Desktop;AMD Athlon 64 2000+
AMD Athlon 64 2600+;1;243;292;15;Unknown;Desktop;AMD Athlon 64 2600+
AMD Athlon 64 2800+;1;295;375;89;754;Desktop;AMD Athlon 64 2800+
AMD Athlon 64 3000+;1;342;623;89;Socket 754;Desktop;AMD Athlon 64 3000+
AMD Athlon 64 3100+;1;484;600;89;754;Desktop;AMD Athlon 64 3100+
AMD Athlon 64 3200+;1;305;621;62;AM2;Desktop;AMD Athlon 64 3200+
AMD Athlon 64 3300+;1;375;477;NA;Unknown;Desktop;AMD Athlon 64 3300+
AMD Athlon 64 3400+;1;317;547;89;754;Desktop;AMD Athlon 64 3400+
AMD Athlon 64 3500+;1;377;576;45;AM2;Desktop;AMD Athlon 64 3500+
AMD Athlon 64 3700+;1;394;435;89;939;Desktop;AMD Athlon 64 3700+
AMD Athlon 64 3800+;1;332;591;45;AM2;Desktop;AMD Athlon 64 3800+
AMD Athlon 64 4000+;1;340;565;62;AM2;Desktop;AMD Athlon 64 4000+
AMD Athlon 64 FX-55;1;404;505;104;939;Desktop;AMD Athlon 64 FX-55
AMD Athlon 64 FX-57;1;517;552;104;939;Desktop;AMD Athlon 64 FX-57
AMD Athlon 64 FX-59;1;465;575;NA;939;Desktop;AMD Athlon 64 FX-59
AMD Athlon 64 FX-60 Dual Core;2;709;912;110;939;Desktop;AMD Athlon 64 FX-60 Dual Core
AMD Athlon 64 FX-62 Dual Core;2;993;1022;125;AM2;Desktop;AMD Athlon 64 FX-62 Dual Core
AMD Athlon 64 FX-74;2;972;617;125;F (1207);Desktop;AMD Athlon 64 FX-74
AMD Athlon 64 X2 Dual Core 3400+;2;531;505;89;754;Desktop;AMD Athlon 64 X2 Dual Core 3400+
AMD Athlon 64 X2 Dual Core 3600+;2;618;655;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 3600+
AMD Athlon 64 X2 Dual Core 3800+;2;623;717;89;AM2;Desktop;AMD Athlon 64 X2 Dual Core 3800+
AMD Athlon 64 X2 Dual Core 4000+;2;698;739;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 4000+
AMD Athlon 64 X2 Dual Core 4200+;2;729;804;89;AM2;Desktop;AMD Athlon 64 X2 Dual Core 4200+
AMD Athlon 64 X2 Dual Core 4400+;2;675;764;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 4400+
AMD Athlon 64 X2 Dual Core 4600+;2;720;835;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 4600+
AMD Athlon 64 X2 Dual Core 4800+;2;719;878;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 4800+
AMD Athlon 64 X2 Dual Core 5000+;2;807;908;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 5000+
AMD Athlon 64 X2 Dual Core 5200+;2;855;937;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 5200+
AMD Athlon 64 X2 Dual Core 5400+;2;907;999;65;AM2;Desktop;AMD Athlon 64 X2 Dual Core 5400+
AMD Athlon 64 X2 Dual Core 5600+;2;912;1019;89;AM2;Desktop;AMD Athlon 64 X2 Dual Core 5600+
AMD Athlon 64 X2 Dual Core 5800+;2;653;746;89;Unknown;Desktop;AMD Athlon 64 X2 Dual Core 5800+
AMD Athlon 64 X2 Dual Core 6000+;2;942;1049;89;AM2;Desktop;AMD Athlon 64 X2 Dual Core 6000+
AMD Athlon 64 X2 Dual Core 6400+;2;954;1126;125;AM2;Desktop;AMD Athlon 64 X2 Dual Core 6400+
AMD Athlon 64 X2 Dual Core BE-2300;2;594;624;45;AM2;Desktop;AMD Athlon 64 X2 Dual Core BE-2300
AMD Athlon 64 X2 Dual Core BE-2350;2;573;674;45;AM2;Desktop;AMD Athlon 64 X2 Dual Core BE-2350
AMD Athlon 64 X2 Dual-Core TK-42;2;577;537;20;Unknown;Desktop;AMD Athlon 64 X2 Dual-Core TK-42
AMD Athlon 64 X2 Dual-Core TK-53;2;602;621;31;Unknown;Desktop;AMD Athlon 64 X2 Dual-Core TK-53
AMD Athlon 64 X2 Dual-Core TK-55;2;518;609;35;Unknown;Desktop;AMD Athlon 64 X2 Dual-Core TK-55
AMD Athlon 64 X2 Dual-Core TK-57;2;624;646;31;Unknown;Desktop;AMD Athlon 64 X2 Dual-Core TK-57
AMD Athlon 64 X2 QL-60;2;651;650;35;S1;Laptop;AMD Athlon 64 X2 QL-60
AMD Athlon 64 X2 QL-62;2;525;623;35;S1;Laptop;AMD Athlon 64 X2 QL-62
AMD Athlon 64 X2 QL-64;2;605;694;35;S1;Laptop;AMD Athlon 64 X2 QL-64
AMD Athlon 64 X2 QL-65;2;664;701;35;S1;Laptop;AMD Athlon 64 X2 QL-65
AMD Athlon 64 X2 QL-66;2;641;751;35;S1;Laptop;AMD Athlon 64 X2 QL-66
AMD Athlon 64 X2 QL-67;2;582;515;35;S1;Laptop;AMD Athlon 64 X2 QL-67
AMD Athlon 7450 Dual-Core;2;789;853;95;AM2+;Desktop;AMD Athlon 7450 Dual-Core
AMD Athlon 7550 Dual-Core;2;977;969;95;AM2+;Desktop;AMD Athlon 7550 Dual-Core
AMD Athlon 7750 Dual-Core;2;1005;1051;95;AM2+;Desktop;AMD Athlon 7750 Dual-Core
AMD Athlon 7850 Dual-Core;2;1058;1118;95;AM2+;Desktop;AMD Athlon 7850 Dual-Core
AMD Athlon Dual Core 4050e;2;674;751;45;AM2;Desktop;AMD Athlon Dual Core 4050e
AMD Athlon Dual Core 4450B;2;723;798;45;AM2+;Desktop;AMD Athlon Dual Core 4450B
AMD Athlon Dual Core 4450e;2;710;802;45;AM2;Desktop;AMD Athlon Dual Core 4450e
AMD Athlon Dual Core 4850B;2;727;887;45;AM2+;Desktop;AMD Athlon Dual Core 4850B
AMD Athlon Dual Core 4850e;2;799;906;45;AM2;Desktop;AMD Athlon Dual Core 4850e
AMD Athlon Dual Core 5000B;2;856;942;65;AM2;Desktop;AMD Athlon Dual Core 5000B
AMD Athlon Dual Core 5050e;2;846;917;45;AM2;Desktop;AMD Athlon Dual Core 5050e
AMD Athlon Dual Core 5200B;2;823;966;65;AM2;Desktop;AMD Athlon Dual Core 5200B
AMD Athlon Dual Core 5400B;2;914;985;65;AM2;Desktop;AMD Athlon Dual Core 5400B
AMD Athlon Dual Core 5600B;2;737;1003;65;AM2+;Desktop;AMD Athlon Dual Core 5600B
AMD Athlon Gold 3150C;2;3292;1706;15;FP5;Laptop, Mobile/Embedded;AMD Athlon Gold 3150C
AMD Athlon Gold 3150G;4;6922;2212;65;AM4;Desktop;AMD Athlon Gold 3150G
AMD Athlon Gold 3150U;2;3934;1729;15;FP5;Laptop;AMD Athlon Gold 3150U
AMD Athlon Gold 7220U;2;4904;2210;15;FP6;Laptop;AMD Athlon Gold 7220U
AMD Athlon Gold PRO 3150G;4;7468;2305;65;AM4;Desktop;AMD Athlon Gold PRO 3150G
AMD Athlon Gold PRO 3150GE;4;7006;2165;35;AM4;Desktop;AMD Athlon Gold PRO 3150GE
AMD Athlon Gold PRO 4150GE;4;8259;2384;35;FP6;Laptop;AMD Athlon Gold PRO 4150GE
AMD Athlon II 160u;1;358;717;20;Unknown;Desktop;AMD Athlon II 160u
AMD Athlon II 170u;1;355;731;20;AM2+,AM3;Desktop;AMD Athlon II 170u
AMD Athlon II Dual-Core M300;2;670;776;35;Unknown;Laptop;AMD Athlon II Dual-Core M300
AMD Athlon II Dual-Core M320;2;770;856;35;Unknown;Laptop;AMD Athlon II Dual-Core M320
AMD Athlon II Dual-Core M340;2;807;858;35;Unknown;Laptop;AMD Athlon II Dual-Core M340
AMD Athlon II N330 Dual-Core;2;665;813;35;Unknown;Laptop;AMD Athlon II N330 Dual-Core
AMD Athlon II N350 Dual-Core;2;856;983;35;Unknown;Laptop;AMD Athlon II N350 Dual-Core
AMD Athlon II N370 Dual-Core;2;899;913;35;S1g4;Laptop;AMD Athlon II N370 Dual-Core
AMD Athlon II Neo K125;1;315;616;12;S1;Laptop;AMD Athlon II Neo K125
AMD Athlon II Neo K145;1;298;592;12;S1;Laptop;AMD Athlon II Neo K145
AMD Athlon II Neo K325 Dual-Core;2;439;495;12;Unknown;Laptop;AMD Athlon II Neo K325 Dual-Core
AMD Athlon II Neo K345 Dual-Core;2;527;552;12;Unknown;Laptop;AMD Athlon II Neo K345 Dual-Core
AMD Athlon II Neo N36L Dual-Core;2;487;524;12;Unknown;Laptop;AMD Athlon II Neo N36L Dual-Core
AMD Athlon II P320 Dual-Core;2;706;817;25;Unknown;Laptop;AMD Athlon II P320 Dual-Core
AMD Athlon II P340 Dual-Core;2;722;849;25;S1g4;Laptop;AMD Athlon II P340 Dual-Core
AMD Athlon II P360 Dual-Core;2;758;874;25;S1g4;Laptop;AMD Athlon II P360 Dual-Core
AMD Athlon II X2 210e;2;1089;1051;45;AM3;Desktop;AMD Athlon II X2 210e
AMD Athlon II X2 215;2;1011;1049;65;AM3;Desktop;AMD Athlon II X2 215
AMD Athlon II X2 220;2;1046;1092;65;AM3;Desktop;AMD Athlon II X2 220
AMD Athlon II X2 235e;2;1079;1098;45;AM3;Desktop;AMD Athlon II X2 235e
AMD Athlon II X2 240;2;1060;1078;65;AM3;Desktop;AMD Athlon II X2 240
AMD Athlon II X2 240e;2;1007;1097;45;AM3;Desktop;AMD Athlon II X2 240e
AMD Athlon II X2 245;2;1128;1132;65;AM2+/AM3;Desktop;AMD Athlon II X2 245
AMD Athlon II X2 245e;2;1126;1176;45;AM3;Desktop;AMD Athlon II X2 245e
AMD Athlon II X2 250;2;1179;1196;65;AM3;Desktop;AMD Athlon II X2 250
AMD Athlon II X2 250e;2;1202;1204;45;AM3;Desktop;AMD Athlon II X2 250e
AMD Athlon II X2 250u;2;615;641;25;AM3;Desktop;AMD Athlon II X2 250u
AMD Athlon II X2 255;2;1208;1236;65;AM3;Desktop;AMD Athlon II X2 255
AMD Athlon II X2 260;2;1245;1286;65;AM3;Desktop;AMD Athlon II X2 260
AMD Athlon II X2 260u;2;713;716;25;AM3;Desktop;AMD Athlon II X2 260u
AMD Athlon II X2 265;2;1324;1349;65;AM3;Desktop;AMD Athlon II X2 265
AMD Athlon II X2 270;2;1333;1339;65;AM3;Desktop;AMD Athlon II X2 270
AMD Athlon II X2 270u;2;675;791;25;AM3;Desktop;AMD Athlon II X2 270u
AMD Athlon II X2 280;2;1355;1462;65;AM3;Desktop;AMD Athlon II X2 280
AMD Athlon II X2 4300e;2;990;1074;13;Unknown;Desktop;AMD Athlon II X2 4300e
AMD Athlon II X2 4400e;2;944;1063;37;Unknown;Desktop;AMD Athlon II X2 4400e
AMD Athlon II X2 4450e;2;587;667;45;AM2;Desktop;AMD Athlon II X2 4450e
AMD Athlon II X2 B22;2;1064;1125;65;AM3;Desktop;AMD Athlon II X2 B22
AMD Athlon II X2 B24;2;1124;1183;65;AM3;Desktop;AMD Athlon II X2 B24
AMD Athlon II X2 B26;2;1248;1276;65;Unknown;Unknown;AMD Athlon II X2 B26
